City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,camocim,-2.9022,-40.8411,76.93,81,29,14.65,BR,2023-10-04 03:48:11
111,puerto ayora,-0.7393,-90.3518,72.55,97,92,4.0,EC,2023-10-04 03:48:11
112,thompson,55.7435,-97.8558,44.76,100,100,5.75,CA,2023-10-04 03:48:11
113,moires,35.0532,24.8744,68.76,68,6,4.0,GR,2023-10-04 03:48:11
114,port elizabeth,-33.918,25.5701,63.1,86,40,9.22,ZA,2023-10-04 03:48:11
115,lompoc,34.6391,-120.4579,65.01,94,0,0.0,US,2023-10-04 03:48:11
116,el porvenir,13.7617,-87.3458,74.53,96,100,2.17,HN,2023-10-04 03:48:12
117,argo,37.6333,22.7333,62.6,67,0,3.83,GR,2023-10-04 03:48:12
118,barentu,15.1139,37.5928,75.88,46,0,4.54,ER,2023-10-04 03:48:12
119,saint-francois,46.4154,3.9054,47.64,100,100,0.0,FR,2023-10-04 03:48:12
120,howrah,22.5892,88.3103,78.8,94,100,8.05,IN,2023-10-04 03:48:12
121,port lincoln,-34.7333,135.8667,57.31,44,43,20.04,AU,2023-10-04 03:48:12
122,port alfred,-33.5906,26.891,63.18,89,100,4.0,ZA,2023-10-04 03:48:12
123,mirpur sakro,24.5474,67.6277,84.0,68,4,12.59,PK,2023-10-04 03:48:12
124,laguna,38.421,-121.4238,74.44,53,0,0.0,US,2023-10-04 03:48:12
125,port saint john's,-31.6229,29.5448,65.8,85,69,8.43,ZA,2023-10-04 03:48:12
126,champerico,14.3,-91.9167,77.49,87,100,9.8,GT,2023-10-04 03:48:12
127,shelbyville,35.4834,-86.4603,68.72,42,0,3.44,US,2023-10-04 03:48:13
128,el bauga,18.262,33.9081,85.73,20,0,10.42,SD,2023-10-04 03:48:13
129,isla mujeres,21.2311,-86.731,78.85,78,39,15.93,MX,2023-10-04 03:48:13
130,saluzzo,44.6464,7.4862,65.89,87,74,2.48,IT,2023-10-04 03:48:13
131,teknaf,20.8624,92.3058,84.24,75,59,12.95,BD,2023-10-04 03:48:13
132,nelson bay,-32.7167,152.15,81.09,66,52,25.99,AU,2023-10-04 03:45:35
133,pacific grove,36.6177,-121.9166,62.02,92,20,1.99,US,2023-10-04 03:48:13
134,georgetown,5.4112,100.3354,84.15,84,20,5.75,MY,2023-10-04 03:45:10
135,de witt,41.8234,-90.5382,75.31,58,0,6.91,US,2023-10-04 03:48:13
136,jamestown,42.097,-79.2353,67.64,88,0,1.01,US,2023-10-04 03:46:26
137,vadso,70.0744,29.7487,35.76,87,75,4.61,NO,2023-10-04 03:48:13
138,pauri,30.15,78.7833,70.79,63,0,1.32,IN,2023-10-04 03:48:13
139,businga,3.3333,20.8833,69.13,97,90,1.25,CD,2023-10-04 03:48:14
140,thunder bay,48.4001,-89.3168,66.18,82,100,5.75,CA,2023-10-04 03:48:14
141,aroma,15.8167,36.1333,81.88,52,0,9.24,SD,2023-10-04 03:48:14
142,nyagan,62.1406,65.3936,44.42,81,100,2.3,RU,2023-10-04 03:48:14
143,hawaiian paradise park,19.5933,-154.9731,78.31,84,75,9.22,US,2023-10-04 03:48:14
144,varna,43.2167,27.9167,58.44,93,0,1.14,BG,2023-10-04 03:46:04
145,gunupur,19.0833,83.8167,85.21,74,100,3.69,IN,2023-10-04 03:48:14
146,klyuchi,52.2667,79.1667,50.2,42,0,5.14,RU,2023-10-04 03:48:14
147,portland,45.5234,-122.6762,61.61,89,41,3.0,US,2023-10-04 03:48:01
148,san jose del cabo,23.0589,-109.6977,87.08,74,40,6.91,MX,2023-10-04 03:47:53
149,trincomalee,8.5711,81.2335,87.04,62,48,14.97,LK,2023-10-04 03:48:14
150,nurabad,34.0734,47.9725,59.25,54,34,4.54,IR,2023-10-04 03:48:14
151,tauranga,-37.6861,176.1667,66.85,49,0,3.0,NZ,2023-10-04 03:45:42
152,lihue,21.9789,-159.3672,83.44,75,100,9.22,US,2023-10-04 03:47:42
153,margate,51.3813,1.3862,51.69,89,54,1.99,GB,2023-10-04 03:48:15
154,tangalle,6.024,80.7911,77.16,79,66,8.19,LK,2023-10-04 03:48:15
155,avarua,-21.2078,-159.775,73.45,78,100,13.8,CK,2023-10-04 03:48:15
156,berezovskiy,55.6,86.2,46.81,58,95,4.34,RU,2023-10-04 03:48:15
157,luanda,-8.8368,13.2343,73.4,94,100,4.61,AO,2023-10-04 03:45:29
158,bredasdorp,-34.5322,20.0403,58.35,94,100,10.54,ZA,2023-10-04 03:48:15
159,kirensk,57.7853,108.1119,42.03,94,100,11.01,RU,2023-10-04 03:48:15
160,norilsk,69.3535,88.2027,33.42,94,100,16.04,RU,2023-10-04 03:48:15
161,smidovich,48.6,133.8167,48.16,92,100,12.97,RU,2023-10-04 03:48:15
162,punta arenas,-53.15,-70.9167,44.71,70,0,17.27,CL,2023-10-04 03:45:53
163,kolonia,50.9333,6.95,56.88,85,92,7.27,DE,2023-10-04 03:44:08
164,urucui,-7.2294,-44.5561,81.43,36,0,1.39,BR,2023-10-04 03:48:16
165,sao felix do xingu,-6.6447,-51.995,82.24,44,68,1.41,BR,2023-10-04 03:48:16
